Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

10:55:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:55:29        all      0,50      0,00      0,40      0,00      0,00     99,10
10:55:39        all      0,60      0,00      0,50      0,00      0,00     98,90
10:55:49        all      1,20      0,00      0,70      0,00      0,00     98,10
10:55:59        all     14,34      0,00      1,30      0,00      0,00     84,35
10:56:09        all     96,85      0,00      3,15      0,00      0,00      0,00
10:56:19        all     97,59      0,00      2,41      0,00      0,00      0,00
10:56:29        all     96,88      0,00      3,12      0,00      0,00      0,00
10:57:03        all     96,94      0,00      3,06      0,00      0,00      0,00
10:57:13        all     96,44      0,00      3,56      0,00      0,00      0,00
10:57:23        all     97,19      0,00      2,81      0,00      0,00      0,00
10:57:33        all     96,99      0,00      3,01      0,00      0,00      0,00
10:57:43        all     97,39      0,00      2,61      0,00      0,00      0,00
10:57:53        all     90,14      0,00      3,32      0,00      0,00      6,54
10:58:03        all     97,39      0,00      2,61      0,00      0,00      0,00
10:58:13        all     97,48      0,00      2,52      0,00      0,00      0,00
10:58:23        all     96,38      0,00      3,62      0,00      0,00      0,00
10:58:33        all     97,29      0,00      2,71      0,00      0,00      0,00
10:58:43        all     96,99      0,00      3,01      0,00      0,00      0,00
10:58:53        all     97,09      0,00      2,91      0,00      0,00      0,00
10:59:03        all     96,99      0,00      3,01      0,00      0,00      0,00
10:59:13        all     97,07      0,00      2,93      0,00      0,00      0,00
10:59:23        all     96,89      0,00      3,11      0,00      0,00      0,00
10:59:33        all     97,79      0,00      2,21      0,00      0,00      0,00
10:59:43        all     91,57      0,00      3,01      0,00      0,00      5,42
10:59:53        all     97,29      0,00      2,71      0,00      0,00      0,00
11:00:03        all     96,79      0,00      3,21      0,00      0,00      0,00
11:00:13        all     95,71      0,00      4,29      0,00      0,00      0,00
11:00:23        all     97,19      0,00      2,81      0,00      0,00      0,00
11:00:33        all     97,20      0,00      2,80      0,00      0,00      0,00
11:00:43        all     97,29      0,00      2,71      0,00      0,00      0,00
11:00:53        all     97,20      0,00      2,80      0,00      0,00      0,00
11:01:03        all     96,80      0,00      3,20      0,00      0,00      0,00
11:01:13        all     97,70      0,00      2,30      0,00      0,00      0,00
11:01:23        all     97,10      0,00      2,90      0,00      0,00      0,00
11:01:33        all     91,39      0,00      3,10      0,00      0,00      5,51
11:01:43        all     97,49      0,00      2,51      0,00      0,00      0,00
11:01:53        all     97,29      0,00      2,71      0,00      0,00      0,00
11:02:03        all     97,09      0,00      2,91      0,00      0,00      0,00
11:02:13        all     96,96      0,00      3,04      0,00      0,00      0,00
11:02:23        all     97,38      0,00      2,62      0,00      0,00      0,00
11:02:33        all     97,20      0,00      2,80      0,00      0,00      0,00
11:02:43        all     97,39      0,00      2,61      0,00      0,00      0,00
11:02:53        all     96,69      0,00      3,31      0,00      0,00      0,00
11:03:03        all     97,29      0,00      2,71      0,00      0,00      0,00
11:03:13        all     96,86      0,00      3,14      0,00      0,00      0,00
