Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

11:32:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:32:57        all     96,79      0,00      3,21      0,00      0,00      0,00
11:33:07        all     97,69      0,00      2,31      0,00      0,00      0,00
11:33:17        all     97,39      0,00      2,61      0,00      0,00      0,00
11:33:27        all     96,48      0,00      3,52      0,00      0,00      0,00
11:33:37        all     97,26      0,00      2,74      0,00      0,00      0,00
11:33:47        all     97,19      0,00      2,81      0,00      0,00      0,00
11:33:57        all     96,99      0,00      3,01      0,00      0,00      0,00
11:34:07        all     97,09      0,00      2,91      0,00      0,00      0,00
11:34:17        all     97,49      0,00      2,51      0,00      0,00      0,00
11:34:27        all     97,48      0,00      2,52      0,00      0,00      0,00
11:34:37        all     96,75      0,00      3,25      0,00      0,00      0,00
11:34:47        all     97,49      0,00      2,51      0,00      0,00      0,00
11:34:57        all     88,97      0,00      2,91      0,00      0,00      8,12
11:35:07        all     97,19      0,00      2,81      0,00      0,00      0,00
11:35:17        all     98,10      0,00      1,90      0,00      0,00      0,00
11:35:27        all     96,98      0,00      3,02      0,00      0,00      0,00
11:35:37        all     97,26      0,00      2,74      0,00      0,00      0,00
11:35:47        all     97,30      0,00      2,70      0,00      0,00      0,00
11:35:57        all     96,79      0,00      3,21      0,00      0,00      0,00
11:36:07        all     97,09      0,00      2,91      0,00      0,00      0,00
11:36:17        all     97,39      0,00      2,61      0,00      0,00      0,00
11:36:27        all     96,98      0,00      3,02      0,00      0,00      0,00
11:36:37        all     97,39      0,00      2,61      0,00      0,00      0,00
11:36:47        all     97,16      0,00      2,84      0,00      0,00      0,00
11:36:57        all     88,98      0,00      2,91      0,00      0,00      8,12
11:37:07        all     97,59      0,00      2,41      0,00      0,00      0,00
11:37:17        all     97,80      0,00      2,20      0,00      0,00      0,00
11:37:27        all     96,99      0,00      3,01      0,00      0,00      0,00
11:37:37        all     97,29      0,00      2,71      0,00      0,00      0,00
11:37:47        all     97,38      0,00      2,62      0,00      0,00      0,00
11:37:57        all     96,59      0,00      3,41      0,00      0,00      0,00
11:38:07        all     97,69      0,00      2,31      0,00      0,00      0,00
11:38:17        all     97,69      0,00      2,31      0,00      0,00      0,00
11:38:27        all     96,88      0,00      3,12      0,00      0,00      0,00
11:38:37        all     97,39      0,00      2,61      0,00      0,00      0,00
11:38:47        all     97,80      0,00      2,20      0,00      0,00      0,00
11:38:57        all     88,93      0,00      2,72      0,00      0,00      8,35
11:39:07        all     97,08      0,00      2,92      0,00      0,00      0,00
11:39:17        all     98,09      0,00      1,91      0,00      0,00      0,00
11:39:27        all     96,78      0,00      3,22      0,00      0,00      0,00
11:39:37        all     97,29      0,00      2,71      0,00      0,00      0,00
11:39:47        all     97,59      0,00      2,41      0,00      0,00      0,00
11:39:57        all     96,90      0,00      3,10      0,00      0,00      0,00
11:40:07        all     96,99      0,00      3,01      0,00      0,00      0,00
11:40:17        all     97,40      0,00      2,60      0,00      0,00      0,00
11:40:27        all     97,09      0,00      2,91      0,00      0,00      0,00
11:40:37        all     97,09      0,00      2,91      0,00      0,00      0,00
11:40:47        all     97,38      0,00      2,62      0,00      0,00      0,00
11:40:57        all     97,39      0,00      2,61      0,00      0,00      0,00
11:41:07        all     88,93      0,00      2,41      0,00      0,00      8,65
11:41:17        all     97,59      0,00      2,41      0,00      0,00      0,00
11:41:27        all     97,78      0,00      2,22      0,00      0,00      0,00
11:41:37        all     97,10      0,00      2,90      0,00      0,00      0,00
11:41:47        all     97,07      0,00      2,93      0,00      0,00      0,00
11:41:57        all     97,29      0,00      2,71      0,00      0,00      0,00
11:42:07        all     96,98      0,00      3,02      0,00      0,00      0,00
11:42:18        all     97,70      0,00      2,30      0,00      0,00      0,00
11:42:28        all     97,48      0,00      2,52      0,00      0,00      0,00
11:42:38        all     96,99      0,00      3,01      0,00      0,00      0,00
11:42:48        all     97,48      0,00      2,52      0,00      0,00      0,00
11:42:58        all     97,49      0,00      2,51      0,00      0,00      0,00
11:43:08        all     81,71      0,00      2,21      0,00      0,00     16,08
11:43:18        all     90,36      0,00      2,11      0,00      0,00      7,53
11:43:28        all     82,49      0,00      2,31      0,00      0,00     15,19
11:43:38        all     89,54      0,00      2,41      0,00      0,00      8,05
11:43:48        all     83,35      0,00      2,32      0,00      0,00     14,33
11:43:58        all     82,67      0,00      2,10      0,00      0,00     15,23
11:44:08        all     90,14      0,00      2,01      0,00      0,00      7,85
11:44:18        all     82,87      0,00      2,10      0,00      0,00     15,03
11:44:28        all     85,33      0,00      2,11      0,00      0,00     12,56
11:44:38        all     88,33      0,00      2,11      0,00      0,00      9,56
11:44:48        all     82,14      0,00      2,21      0,00      0,00     15,65
11:44:58        all     90,46      0,00      2,01      0,00      0,00      7,53
11:45:08        all     82,43      0,00      2,11      0,00      0,00     15,46
11:45:18        all     82,97      0,00      2,30      0,00      0,00     14,73
11:45:28        all     90,68      0,00      2,00      0,00      0,00      7,31
11:45:38        all     83,15      0,00      2,21      0,00      0,00     14,64
11:45:48        all     86,15      0,00      2,20      0,00      0,00     11,65
11:45:58        all     86,33      0,00      2,41      0,00      0,00     11,26
11:46:08        all     81,95      0,00      2,01      0,00      0,00     16,05
11:46:18        all     90,37      0,00      2,21      0,00      0,00      7,42
11:46:28        all     82,31      0,00      2,41      0,00      0,00     15,28
11:46:38        all     85,76      0,00      2,11      0,00      0,00     12,14
11:46:48        all     86,45      0,00      2,73      0,00      0,00     10,82
11:46:58        all     82,77      0,00      2,20      0,00      0,00     15,03
11:47:08        all     90,38      0,00      2,10      0,00      0,00      7,52
11:47:18        all     81,83      0,00      2,31      0,00      0,00     15,86
11:47:28        all     87,32      0,00      2,01      0,00      0,00     10,66
11:47:38        all     85,89      0,00      2,30      0,00      0,00     11,81
11:47:48        all     83,22      0,00      2,11      0,00      0,00     14,67
11:47:58        all     89,96      0,00      2,11      0,00      0,00      7,93
11:48:08        all     82,65      0,00      2,51      0,00      0,00     14,84
11:48:18        all     88,67      0,00      3,01      0,00      0,00      8,32
11:48:28        all     97,69      0,00      2,31      0,00      0,00      0,00
11:48:38        all     97,39      0,00      2,61      0,00      0,00      0,00
11:48:48        all     97,00      0,00      3,00      0,00      0,00      0,00
11:48:58        all     96,86      0,00      3,14      0,00      0,00      0,00
11:49:08        all     96,89      0,00      3,11      0,00      0,00      0,00
11:49:18        all     97,09      0,00      2,91      0,00      0,00      0,00
11:49:28        all     97,29      0,00      2,71      0,00      0,00      0,00
11:49:38        all     97,29      0,00      2,71      0,00      0,00      0,00
11:49:48        all     97,19      0,00      2,81      0,00      0,00      0,00
11:49:58        all     97,07      0,00      2,93      0,00      0,00      0,00
11:50:08        all     97,59      0,00      2,41      0,00      0,00      0,00
11:50:18        all     97,49      0,00      2,51      0,00      0,00      0,00
11:50:28        all     97,08      0,00      2,92      0,00      0,00      0,00
11:50:38        all     97,30      0,00      2,70      0,00      0,00      0,00
11:50:48        all     97,89      0,00      2,11      0,00      0,00      0,00
11:50:58        all     97,27      0,00      2,73      0,00      0,00      0,00
11:51:08        all     97,69      0,00      2,31      0,00      0,00      0,00
11:51:18        all     97,60      0,00      2,40      0,00      0,00      0,00
11:51:28        all     97,69      0,00      2,31      0,00      0,00      0,00
11:51:38        all     97,79      0,00      2,21      0,00      0,00      0,00
11:51:48        all     98,19      0,00      1,81      0,00      0,00      0,00
11:51:58        all     97,80      0,00      2,20      0,00      0,00      0,00
11:52:08        all     97,79      0,00      2,21      0,00      0,00      0,00
11:52:18        all     97,99      0,00      2,01      0,00      0,00      0,00
11:52:28        all     98,39      0,00      1,61      0,00      0,00      0,00
11:52:38        all     98,00      0,00      2,00      0,00      0,00      0,00
11:52:48        all     98,20      0,00      1,80      0,00      0,00      0,00
11:52:58        all     97,80      0,00      2,20      0,00      0,00      0,00
11:53:08        all     98,40      0,00      1,60      0,00      0,00      0,00
11:53:18        all     98,39      0,00      1,61      0,00      0,00      0,00
11:53:28        all     98,19      0,00      1,81      0,00      0,00      0,00
11:53:38        all     98,00      0,00      2,00      0,00      0,00      0,00
11:53:48        all     98,39      0,00      1,61      0,00      0,00      0,00
11:53:58        all     97,59      0,00      2,41      0,00      0,00      0,00
11:54:08        all     98,00      0,00      2,00      0,00      0,00      0,00
11:54:18        all     16,48      0,00      0,40      0,00      0,00     83,12
11:54:28        all      0,60      0,00      0,60      0,00      0,00     98,80
11:54:38        all      0,50      0,00      0,40      0,00      0,00     99,10
11:54:48        all      0,40      0,00      0,30      0,00      0,00     99,30
11:54:58        all      0,74      0,00      0,63      0,00      0,00     98,63
11:55:08        all      0,60      0,00      0,40      0,00      0,00     99,00
11:55:18        all      0,30      0,00      0,40      0,00      0,00     99,30
11:55:28        all      0,70      0,00      0,50      0,00      0,00     98,80
11:55:38        all      0,40      0,00      0,50      0,00      0,00     99,10
11:55:48        all      0,50      0,00      0,40      0,00      0,00     99,10
11:55:58        all      0,74      0,00      0,63      0,00      0,00     98,63
11:56:08        all      0,50      0,00      0,30      0,00      0,00     99,20
11:56:18        all      0,50      0,00      0,50      0,00      0,00     99,00
11:56:28        all      0,50      0,00      0,30      0,00      0,00     99,20
11:56:38        all      0,60      0,00      0,50      0,00      0,00     98,90
11:56:48        all      1,10      0,00      0,50      0,00      0,00     98,40
11:56:58        all      0,63      0,00      0,63      0,00      0,00     98,74
11:57:08        all      0,50      0,00      0,40      0,00      0,00     99,10
11:57:18        all      1,40      0,00      0,60      0,00      0,00     97,99
11:57:28        all      0,40      0,00      0,40      0,00      0,00     99,20
11:57:38        all      0,60      0,00      0,50      0,00      0,00     98,90
11:57:48        all      0,50      0,00      0,40      0,00      0,00     99,10
11:57:58        all      0,63      0,00      0,63      0,00      0,00     98,74
11:58:08        all      0,40      0,00      0,30      0,00      0,00     99,30
11:58:18        all      0,60      0,00      0,40      0,00      0,00     99,00
11:58:28        all      1,20      0,00      0,60      0,00      0,00     98,20
11:58:38        all      0,50      0,00      0,40      0,00      0,00     99,10
11:58:48        all      0,50      0,00      0,40      0,00      0,00     99,10
11:58:58        all      0,53      0,00      0,74      0,00      0,00     98,74
11:59:08        all      0,80      0,00      0,60      0,00      0,00     98,60
11:59:18        all      0,60      0,00      0,50      0,00      0,00     98,90
11:59:28        all      0,80      0,00      0,50      0,00      0,00     98,70
11:59:38        all      0,50      0,00      0,40      0,00      0,00     99,10
11:59:48        all      0,40      0,00      0,30      0,00      0,00     99,30
11:59:58        all      0,60      0,00      0,50      0,00      0,00     98,90
12:00:08        all      0,84      0,00      1,05      0,00      0,00     98,11
12:00:18        all      0,40      0,00      0,40      0,00      0,00     99,20
12:00:28        all      0,70      0,00      0,40      0,00      0,00     98,90
12:00:38        all      0,50      0,00      0,40      0,00      0,00     99,10
12:00:48        all      0,50      0,00      0,40      0,00      0,00     99,10
12:00:58        all      0,50      0,00      0,30      0,00      0,00     99,20
12:01:08        all      1,16      0,00      1,05      0,00      0,00     97,79
12:01:18        all      0,40      0,00      0,40      0,00      0,00     99,20
12:01:28        all      1,10      0,00      0,60      0,00      0,00     98,30
12:01:38        all      0,60      0,00      0,50      0,00      0,00     98,90
12:01:48        all      1,00      0,00      0,60      0,00      0,00     98,39
12:01:58        all      0,60      0,00      0,40      0,00      0,00     99,00
12:02:08        all      0,73      0,00      0,63      0,00      0,00     98,64
12:02:18        all      0,90      0,00      0,60      0,00      0,00     98,49
12:02:28        all      0,80      0,00      0,60      0,00      0,00     98,59
12:02:38        all      0,60      0,00      0,50      0,00      0,00     98,90
12:02:48        all      0,60      0,00      0,30      0,00      0,00     99,10
12:02:58        all      1,10      0,00      0,80      0,00      0,00     98,10
12:03:08        all      0,63      0,00      0,63      0,00      0,00     98,74
12:03:18        all      0,50      0,00      0,40      0,00      0,00     99,10
12:03:28        all      0,90      0,00      0,60      0,00      0,00     98,50
12:03:38        all      0,60      0,00      0,40      0,00      0,00     99,00
12:03:48        all      0,50      0,00      0,50      0,00      0,00     99,00
12:03:58        all      0,60      0,00      0,60      0,00      0,00     98,80
12:04:08        all      1,27      0,00      0,64      0,00      0,00     98,09
12:04:18        all      0,40      0,00      0,40      0,00      0,00     99,20
12:04:28        all      0,80      0,00      0,50      0,00      0,00     98,70
12:04:38        all      1,10      0,00      0,60      0,00      0,00     98,29
12:04:48        all      0,30      0,00      0,40      0,00      0,00     99,30
12:04:58        all      0,60      0,00      0,40      0,00      0,00     99,00
12:05:08        all      0,95      0,00      0,74      0,00      0,00     98,32
12:05:18        all      0,80      0,00      0,60      0,00      0,00     98,60
12:05:28        all      0,50      0,00      0,40      0,00      0,00     99,10
12:05:38        all      0,50      0,00      0,40      0,00      0,00     99,10
12:05:48        all      1,00      0,00      0,90      0,10      0,00     98,00
12:05:58        all      0,50      0,00      0,30      0,00      0,00     99,20
12:06:08        all      0,74      0,00      0,53      0,00      0,00     98,74
Media:          all     60,60      0,00      1,78      0,00      0,00     37,62

11:32:47          tps      rtps      wtps   bread/s   bwrtn/s
